,ddc,주류(한글),강목(한글),요목(한글),세목(한글)
1831,623.04,기술,공학,군사 및 항해 공학,군사 공학의 특별 주제
1832,623.074451821,기술,공학,군사 및 항해 공학,군사공학--박물관--제노아(이탈리아)
1833,623.092,기술,공학,군사 및 항해 공학,군사 엔지니어
1834,623.1-623.7,기술,공학,군사 및 항해 공학,군사공학
1835,623.8,기술,공학,군사 및 항해 공학,항해 공학 및 선원 기술
1836,624,기술,공학,토목공학,토목공학
1837,624.02184,기술,공학,토목공학,토목공학--표준--유럽
1838,624.0284,기술,공학,토목공학,"토목공학--장비, . . ."
1839,624.029,기술,공학,토목공학,상업 잡화
1840,624.068,기술,공학,토목공학,토목공학--경영
1841,624.092,기술,공학,토목공학,"토목공학자, . . ."
1842,624.1,기술,공학,토목공학,구조 엔지니어링 및 지하 건설
1843,624.2,기술,공학,토목공학,교량
1844,625,기술,공학,철도 및 도로 공학,철도 및 도로 공학
1845,625.1,기술,공학,철도 및 도로 공학,철도
1846,625.2,기술,공학,철도 및 도로 공학,철도차량
1847,625.3-625.6,기술,공학,철도 및 도로 공학,특수목적철도
1848,625.7,기술,공학,철도 및 도로 공학,도로
1849,625.8,기술,공학,철도 및 도로 공학,인공 도로 표면
1850,627,기술,공학,유압공학,유압공학
1851,627[.015325],기술,공학,유압공학,유체 역학
1852,627.04,기술,공학,유압공학,수력공학특집
1853,627.092,기술,공학,유압공학,유압 엔지니어
1854,627.1,기술,공학,유압공학,내륙 수로
1855,627.2,기술,공학,유압공학,"항구, 항만, 도로"
1856,627.3,기술,공학,유압공학,항만시설
1857,627.4,기술,공학,유압공학,홍수 조절
1858,627.5,기술,공학,유압공학,"매립, 관개, 관련 주제"
1859,627.7,기술,공학,유압공학,수중 작업
1860,627.8,기술,공학,유압공학,댐과 저수지
1861,627.9,기술,공학,유압공학,기타 유압구조물
1862,628,기술,공학,환경공학 및 위생공학,환경공학 및 위생공학
1863,628.0287,기술,공학,환경공학 및 위생공학,환경 공학 - 측정
1864,628.091734,기술,공학,환경공학 및 위생공학,"위생 공학--농촌, . . ."
1865,628.092,기술,공학,환경공학 및 위생공학,"환경공학자, . . ."
1866,628.1,기술,공학,환경공학 및 위생공학,상수도
1867,628.2,기술,공학,환경공학 및 위생공학,하수구
1868,628.3,기술,공학,환경공학 및 위생공학,하수 처리 및 처리
1869,628.4,기술,공학,환경공학 및 위생공학,"폐기물 기술, 공중 화장실, 거리 청소"
1870,628.5,기술,공학,환경공학 및 위생공학,오염방지기술 및 산업위생공학
1871,628.7,기술,공학,환경공학 및 위생공학,농업 폐기물 기술 및 동물 폐기물
1872,628.9,기술,공학,환경공학 및 위생공학,환경 공학 및 위생 공학의 기타 분야
1873,629,기술,공학,기타 엔지니어링 분야,기타 엔지니어링 분야
1874,629.04,기술,공학,기타 엔지니어링 분야,교통공학
1875,629.1,기술,공학,기타 엔지니어링 분야,항공 우주 공학
1876,629.2,기술,공학,기타 엔지니어링 분야,"육상 차량, 자전거"
1877,629.3,기술,공학,기타 엔지니어링 분야,"에어쿠션 차량(지상효과기, 호버크래프트)"
1878,629.4,기술,공학,기타 엔지니어링 분야,우주 비행사
1879,629.8,기술,공학,기타 엔지니어링 분야,자동제어공학
1880,630,기술,농업,농업 및 관련 기술,농업 및 관련 기술
1881,630[.15],기술,농업,농업 및 관련 기술,과학적 원리
1882,630.2,기술,농업,농업 및 관련 기술,기타 및 과학적 원리
1883,630.3,기술,농업,농업 및 관련 기술,"농업--사전, . . ."
1884,630.6073,기술,농업,농업 및 관련 기술,농업--조직--미국
1885,630.68,기술,농업,농업 및 관련 기술,농업--관리
1886,630.7,기술,농업,농업 및 관련 기술,"교육, 연구, 관련 주제"
1887,630.9,기술,농업,농업 및 관련 기술,농업--역사
1888,631,기술,농업,"특정 기술; 기구, 장비, 재료","특정 기술; 기구, 장비, 재료"
1889,631[.01-631.09],기술,농업,"특정 기술; 기구, 장비, 재료",표준 세분
1890,631.2,기술,농업,"특정 기술; 기구, 장비, 재료",농업 구조물
1891,631.3,기술,농업,"특정 기술; 기구, 장비, 재료","도구, 기계, 장치, 장비"
1892,631.4,기술,농업,"특정 기술; 기구, 장비, 재료",토양과학
1893,631.5,기술,농업,"특정 기술; 기구, 장비, 재료",재배 및 수확
1894,631.6,기술,농업,"특정 기술; 기구, 장비, 재료","개간, 배수, 재녹화"
1895,631.7,기술,농업,"특정 기술; 기구, 장비, 재료",물 절약
1896,631.8,기술,농업,"특정 기술; 기구, 장비, 재료","비료, 토양 개량제, 성장 조절제"
1897,632,기술,농업,"식물 부상, 질병, 해충","식물 부상, 질병, 해충"
1898,632.1,기술,농업,"식물 부상, 질병, 해충",환경적 요인으로 인한 피해
1899,632.2-632.8,기술,농업,"식물 부상, 질병, 해충",특정 질병 및 해충
1900,632.9,기술,농업,"식물 부상, 질병, 해충",해충 및 질병 통제에 관한 일반 주제
1901,633-635,기술,농업,특정 식물 작물,특정 식물 작물
1902,633,기술,농업,특정 식물 작물,들판과 농장 작물
1903,634,기술,농업,특정 식물 작물,"과수원, 과일, 임업"
1904,635,기술,농업,특정 식물 작물,정원 작물 (원예)
1905,636,기술,농업,축산,축산
1906,636.001,기술,농업,축산,철학과 이론
1907,636.002,기술,농업,축산,잡록
1908,636.003-636.006,기술,농업,축산,표준 세분
1909,636.007,기술,농업,축산,"교육, 연구, 관련 주제"
1910,636.008-636.009,기술,농업,축산,표준 하위 구분
1911,636.01,기술,농업,축산,목장과 농장
1912,636.07,기술,농업,축산,동물의 새끼
1913,636.08,기술,농업,축산,축산업의 특정 주제
1914,636.1-636.8,기술,농업,축산,특정 종류의 가축
1915,636.9,기술,농업,축산,기타 포유류
1916,637,기술,농업,유제품 및 관련 제품 가공,유제품 및 관련 제품 가공
1917,637.1,기술,농업,유제품 및 관련 제품 가공,우유 가공
1918,637.2,기술,농업,유제품 및 관련 제품 가공,버터 가공
1919,637.3,기술,농업,유제품 및 관련 제품 가공,치즈 가공
1920,637.4,기술,농업,유제품 및 관련 제품 가공,냉동 디저트 제조
1921,637.5,기술,농업,유제품 및 관련 제품 가공,계란 가공
1922,638,기술,농업,곤충 배양,곤충 배양
1923,638.092,기술,농업,곤충 배양,곤충 배양가
1924,638.1,기술,농업,곤충 배양,양봉(양봉)
1925,638.2,기술,농업,곤충 배양,누에
1926,638.5,기술,농업,곤충 배양,기타 곤충
1927,639,기술,농업,"사냥, 낚시, 보존, 관련 기술","수렵, 낚시, 보존, 관련 기술"
1928,639.0916,기술,농업,"수렵, 낚시, 보존, 관련 기술",공기와 물에서의 처리
1929,639.1,기술,농업,"수렵, 낚시, 보존, 관련 기술",수렵
1930,639.2,기술,농업,"수렵, 낚시, 보존, 관련 기술","상업 어업, 포경, 바다표범"
1931,639.3,기술,농업,"수렵, 낚시, 보존, 관련 기술",냉혈 척추동물의 배양
1932,639.4,기술,농업,"수렵, 낚시, 보존, 관련 기술",연체동물 어업과 문화
1933,639.5,기술,농업,"수렵, 낚시, 보존, 관련 기술",갑각류 어업
1934,639.6,기술,농업,"수렵, 낚시, 보존, 관련 기술",갑각류 문화
1935,639.7,기술,농업,"수렵, 낚시, 보존, 관련 기술","연체동물, 갑각류를 제외한 무척추동물의 채취 및 양식"
1936,639.8,기술,농업,"수렵, 낚시, 보존, 관련 기술",양식업
1937,639.9,기술,농업,"수렵, 낚시, 보존, 관련 기술",생물자원 보존
1938,640,기술,가정 및 가족 관리,가정 및 가족 관리,가정 및 가족 관리
1939,640.19,기술,가정 및 가족 관리,가정 및 가족 관리,가정 관리 - 심리적 원리
1940,640.286,기술,가정 및 가족 관리,가정 및 가족 관리,"홈 관리 - 녹색 기술, . . ."
1941,640[.288],기술,가정 및 가족 관리,가정 및 가족 관리,유지보수 및 수리
1942,640.29,기술,가정 및 가족 관리,가정 및 가족 관리,상업 잡화
1943,640.4,기술,가정 및 가족 관리,가정 및 가족 관리,주택 관리의 특정 측면
1944,640.6,기술,가정 및 가족 관리,가정 및 가족 관리,조직
1945,640.7,기술,가정 및 가족 관리,가정 및 가족 관리,"교육, 연구, 관련 주제; 평가 및 구매 가이드"
1946,640.91734,기술,가정 및 가족 관리,가정 및 가족 관리,가정 경제--농촌 지역
1947,640.92,기술,가정 및 가족 관리,가정 및 가족 관리,"가정 경제학자, . . ."
1948,641,기술,가정 및 가족 관리,음식과 음료,음식과 음료
1949,641.01,기술,가정 및 가족 관리,음식과 음료,"철학과 이론, 요리법"
1950,641.092,기술,가정 및 가족 관리,음식과 음료,음식과 음료 - 전기
1951,641.2,기술,가정 및 가족 관리,음식과 음료,음료(음료)
1952,641.3,기술,가정 및 가족 관리,음식과 음료,음식
1953,641.4,기술,가정 및 가족 관리,음식과 음료,식품 보존 및 보관
1954,641.5,기술,가정 및 가족 관리,음식과 음료,요리
1955,641.6,기술,가정 및 가족 관리,음식과 음료,특정 재료 요리하기
1956,641.7,기술,가정 및 가족 관리,음식과 음료,특정 조리 과정 및 기술
1957,641.8,기술,가정 및 가족 관리,음식과 음료,특정 종류의 요리 요리 및 음료 준비
1958,642,기술,가정 및 가족 관리,식사 및 테이블 서비스,식사 및 테이블 서비스
1959,642.1-642.5,기술,가정 및 가족 관리,식사 및 테이블 서비스,특정 상황에서의 식사
1960,642.6,기술,가정 및 가족 관리,식사 및 테이블 서비스,테이블 서비스
1961,642.7,기술,가정 및 가족 관리,식사 및 테이블 서비스,테이블 가구
1962,642.8,기술,가정 및 가족 관리,식사 및 테이블 서비스,테이블 장식
1963,643,기술,가정 및 가족 관리,주택 및 가정용 장비,주택 및 가전제품
1964,643[.0284],기술,가정 및 가족 관리,주택 및 가정용 장비,"기기, 장비, 재료"
1965,643[.0288],기술,가정 및 가족 관리,주택 및 가정용 장비,유지보수 및 수리
1966,643.1,기술,가정 및 가족 관리,주택 및 가정용 장비,주택
1967,643.2,기술,가정 및 가족 관리,주택 및 가정용 장비,특수목적주택 및 특수주택
1968,643.3-643.5,기술,가정 및 가족 관리,주택 및 가정용 장비,집의 특정 구역
1969,643.6,기술,가정 및 가족 관리,주택 및 가전제품,가전제품 및 노동력 절약형 설비
1970,643.7,기술,가정 및 가족 관리,주택 및 가정용 장비,"리노베이션, 개선, 리모델링"
1971,644,기술,가정 및 가족 관리,가정용 유틸리티,가정용 유틸리티
1972,644.1,기술,가정 및 가족 관리,가정용 유틸리티,난방
1973,644.3,기술,가정 및 가족 관리,가정용 유틸리티,조명
1974,644.5,기술,가정 및 가족 관리,가정용 유틸리티,환기 및 에어컨
1975,644.6,기술,가정 및 가족 관리,가정용 유틸리티,배관
1976,645,기술,가정 및 가족 관리,가정용 가구,가정용 가구
1977,645.04,기술,가정 및 가족 관리,가정용 가구,가정용 가구의 특별 주제
1978,645.1-645.5,기술,가정 및 가족 관리,가정용 가구,특정 종류의 인테리어 가구
1979,645.6,기술,가정 및 가족 관리,가정용 가구,특정 객실의 가구
1980,645.8,기술,가정 및 가족 관리,가정용 가구,야외 가구
1981,646,기술,가정 및 가족 관리,"봉제, 의복, 개인 및 가족 생활 관리","봉제, 의복, 개인 및 가족 생활 관리"
1982,646.1,기술,가정 및 가족 관리,"봉제, 의복, 개인 및 가족 생활 관리",봉제 재료 및 장비
1983,646.2,기술,가정 및 가족 관리,"봉제, 의복, 개인 및 가족 생활 관리",봉제 및 관련 작업
1984,646.3,기술,가정 및 가족 관리,"봉제, 의복, 개인 및 가족 생활 관리",의류 및 액세서리
1985,646.4,기술,가정 및 가족 관리,"봉제, 의복, 개인 및 가족 생활 관리",의류 및 액세서리 건설
1986,646.5,기술,가정 및 가족 관리,"봉제, 의복, 개인 및 가족 생활 관리",모자의 건설
1987,646.6,기술,가정 및 가족 관리,"봉제, 의복, 개인 및 가족 생활 관리",의류 및 액세서리 관리
1988,646.7,기술,가정 및 가족 관리,"봉제, 의복, 개인 및 가족 생활 관리",개인 및 가족 생활 관리
1989,647,기술,가정 및 가족 관리,공공 가구 관리(기관 가사 관리),공공 가구 관리(기관 가사 관리)
1990,647.068,기술,가정 및 가족 관리,공공 가구 관리(기관 가사 관리),관리
1991,647.2,기술,가정 및 가족 관리,공공 가구 관리(기관 가사 관리),직원
1992,647.6,기술,가정 및 가족 관리,공공 가구 관리(기관 가사 관리),직원 시간 및 직무
1993,647.9,기술,가정 및 가족 관리,공공가정의 관리(기관가정),특정 종류의 공공 가구 및 기관
1994,648,기술,가정 및 가족 관리,가정,가정
1995,648.1,기술,가정 및 가족 관리,가정,세탁 및 관련 작업
1996,648.5,기술,가정 및 가족 관리,가정,집 청소
1997,648.7,기술,가정 및 가족 관리,가정,해충 구제
1998,648.8,기술,가정 및 가족 관리,가정,저장
1999,648.9,기술,가정 및 가족 관리,가정,움직이는
2000,649,기술,가정 및 가족 관리,자녀 양육; 가족과 친구가 질병과 장애가 있는 사람들을 가정에서 돌봄,자녀 양육; 가족과 친구가 질병과 장애가 있는 사람들을 가정에서 돌봄
2001,649.1,기술,가정 및 가족 관리,자녀 양육; 가족과 친구가 질병과 장애가 있는 사람들을 가정에서 돌봄,자녀 양육
2002,649.3-649.7,기술,가정 및 가족 관리,자녀 양육; 가족과 친구가 질병과 장애가 있는 사람들을 가정에서 돌봄,어린이 가정 간호의 특정 요소
2003,649.8,기술,가정 및 가족 관리,자녀 양육; 가족과 친구가 질병과 장애가 있는 사람들을 가정에서 돌봄,가족과 친구가 질병 및 장애가 있는 사람들을 홈 케어합니다.
2004,650,기술,경영 및 홍보,관리 및 보조 서비스,관리 및 보조 서비스
2005,650.01-650.09,기술,경영 및 홍보,관리 및 보조 서비스,표준 세분
2006,650.1,기술,경영 및 홍보,관리 및 보조 서비스,사업에서의 개인적인 성공
2007,651-657,기술,경영 및 홍보,보조 서비스,보조 서비스
2008,651,기술,경영 및 홍보,보조 서비스,사무 서비스
2009,652,기술,경영 및 홍보,보조 서비스,서면 의사소통 과정
2010,653,기술,경영 및 홍보,보조 서비스,속기
2011,[654],기술,경영 및 홍보,보조 서비스,[할당되지 않음]
2012,[655],기술,경영 및 홍보,보조 서비스,[할당되지 않음]
2013,[656],기술,경영 및 홍보,보조 서비스,[할당되지 않음]
2014,657,기술,경영 및 홍보,보조 서비스,회계
2015,658,기술,경영 및 홍보,일반관리,일반관리
2016,658.001,기술,경영 및 홍보,일반관리,철학과 이론
2017,658.002,기술,경영 및 홍보,총괄 관리,잡록
2018,658.003-658.009,기술,경영 및 홍보,일반관리,표준 세분
2019,658.02,기술,경영 및 홍보,일반관리,특정 규모와 범위의 기업 관리
2020,658.04,기술,경영 및 홍보,일반관리,특정 형태의 기업 관리
2021,658.05,기술,경영 및 홍보,일반관리,컴퓨터 응용 프로그램
2022,658.1,기술,경영 및 홍보,일반관리,조직 및 재무관리
2023,658.2,기술,경영 및 홍보,일반관리,공장관리
2024,658.3,기술,경영 및 홍보,일반관리,인사관리(Human resource management)
2025,658.4,기술,경영 및 홍보,일반관리,경영진
2026,658.5,기술,경영 및 홍보,일반관리,생산 관리
2027,658.7,기술,경영 및 홍보,일반관리,자재 관리
2028,658.8,기술,경영 및 홍보,총괄 관리,마케팅 관리
2029,658(.9),기술,경영 및 홍보,총괄 관리,특정 활동 분야에 종사하는 기업 관리
2030,659,기술,경영 및 홍보,광고 및 홍보,광고 및 홍보
2031,659.02854678,기술,경영 및 홍보,광고 및 홍보,인터넷-홍보
2032,659.1,기술,경영 및 홍보,광고 및 홍보,광고하는
2033,659.2,기술,경영 및 홍보,광고 및 홍보,섭외
2034,660,기술,화학 공학,화학공학 및 관련 기술,화학공학 및 관련 기술
2035,660.01,기술,화학 공학,화학공학 및 관련 기술,철학과 이론
2036,660.02,기술,화학 공학,화학공학 및 관련 기술,잡록
2037,660.03,기술,화학 공학,화학공학 및 관련 기술,"사전, 백과사전, 색인"
2038,660.04,기술,화학 공학,화학공학 및 관련 기술,특정 물질 상태의 화학 기술
2039,660.05-660.09,기술,화학 공학,화학공학 및 관련 기술,표준 세분
2040,660.2,기술,화학 공학,화학공학 및 관련 기술,화학공학의 일반 주제
2041,660.6,기술,화학 공학,화학공학 및 관련 기술,생명공학
2042,660.7,기술,화학 공학,화학공학 및 관련 기술,산업용 화학양론
2043,661,기술,화학 공학,산업용 화학물질 기술,산업용 화학물질 기술
2044,661.001-661.009,기술,화학 공학,산업용 화학물질 기술,표준 세분
2045,661.03-661.08,기술,화학 공학,산업용 화학물질 기술,무기화합물
2046,661.1,기술,화학 공학,산업용 화학물질 기술,비금속 요소
2047,661.2-661.6,기술,화학 공학,산업용 화학물질 기술,"산, 염기, 염"
2048,661.8,기술,화학 공학,산업용 화학물질 기술,유기화학물질
2049,662,기술,화학 공학,"폭발물, 연료, 관련 제품의 기술","폭발물, 연료, 관련 제품의 기술"
2050,662.1,기술,화학 공학,"폭발물, 연료, 관련 제품의 기술",불꽃놀이(화약)
2051,662.2,기술,화학 공학,"폭발물, 연료, 관련 제품의 기술",폭발물
2052,662.4,기술,화학 공학,"폭발물, 연료, 관련 제품의 기술",기폭 장치
2053,662.5,기술,화학 공학,"폭발물, 연료, 관련 제품의 기술",성냥
2054,662.6,기술,화학 공학,"폭발물, 연료 및 관련 제품의 기술",연료
2055,662.7,기술,화학 공학,"폭발물, 연료, 관련 제품의 기술",콜라와 숯
2056,662.8,기술,화학 공학,"폭발물, 연료, 관련 제품의 기술",기타 연료
2057,662.9,기술,화학 공학,"폭발물, 연료 및 관련 제품의 기술",비연료 탄소
2058,663,기술,화학 공학,음료 기술,음료 기술
2059,663.092,기술,화학 공학,음료 기술,음료 기술자
2060,663.1,기술,화학 공학,음료 기술,알코올 음료
2061,663.2,기술,화학 공학,음료 기술,와인
2062,663.3,기술,화학 공학,음료 기술,양조 및 맥아 음료
2063,663.4,기술,화학 공학,음료 기술,특정 종류의 양조 및 맥아 음료
2064,663.5,기술,화학 공학,음료 기술,증류주
2065,663.6,기술,화학 공학,음료 기술,무알콜 음료
2066,663.9,기술,화학 공학,음료 기술,무알콜 양조 음료
2067,664,기술,화학 공학,식품기술,식품기술
2068,664.001,기술,화학 공학,식품기술,철학과 이론
2069,664.002,기술,화학 공학,식품기술,잡록
2070,664.003-664.009,기술,화학 공학,식품기술,표준 세분
2071,664.01,기술,화학 공학,식품기술,재료
2072,664.02,기술,화학 공학,식품기술,프로세스
2073,664.06,기술,화학 공학,식품기술,첨가제
2074,664.07,기술,화학 공학,식품기술,"테스트, 분석, 품질 관리"
2075,664.08,기술,화학 공학,식품 기술,부산물
2076,664.09,기술,화학 공학,식품기술,포장
2077,664.1,기술,화학 공학,식품기술,"설탕, 시럽, 이들에서 파생된 제품"
2078,664.2,기술,화학 공학,식품기술,전분 및 젤리화제
2079,664.3,기술,화학 공학,식품기술,지방과 기름
2080,664.4,기술,화학 공학,식품기술,식품소금
2081,664.5,기술,화학 공학,식품기술,향미료 보조제
2082,664.6,기술,화학 공학,식품기술,특수목적식품 및 보조식품
2083,664.7,기술,화학 공학,식품기술,"곡물, 기타 종자 및 이들에서 파생된 제품"
2084,664.8,기술,화학 공학,식품기술,과일과 야채
2085,664.9,기술,화학 공학,식품기술,고기 및 관련 식품
2086,665,기술,화학 공학,"산업용 오일, 지방, 왁스, 가스 기술","산업용 오일, 지방, 왁스, 가스 기술"
2087,665.028,기술,화학 공학,"산업용 오일, 지방, 왁스, 가스 기술","보조 기술 및 절차 기구, 장비, 재료"
2088,665.1,기술,화학 공학,"산업용 오일, 지방, 왁스, 가스 기술",왁스
2089,665.2,기술,화학 공학,"산업용 오일, 지방, 왁스, 가스 기술",동물성 지방 및 오일
2090,665.3,기술,화학 공학,"산업용 오일, 지방, 왁스, 가스 기술",식물성 지방 및 오일
2091,665.4,기술,화학 공학,"산업용 오일, 지방, 왁스, 가스 기술",미네랄 오일 및 왁스
2092,665.5,기술,화학 공학,"산업용 오일, 지방, 왁스, 가스 기술",석유
2093,665.7,기술,화학 공학,"산업용 오일, 지방, 왁스, 가스 기술",천연가스 및 제조가스
2094,665.8,기술,화학 공학,"산업용 오일, 지방, 왁스, 가스 기술",기타 산업용 가스
2095,666,기술,화학 공학,세라믹 및 관련 기술,세라믹 및 관련 기술
2096,666.04,기술,화학 공학,세라믹 및 관련 기술,세라믹 및 관련 기술의 특별 주제
2097,666.092,기술,화학 공학,세라믹 및 관련 기술,세라믹 엔지니어
2098,666.1,기술,화학 공학,세라믹 및 관련 기술,유리
2099,666.2,기술,화학 공학,세라믹 및 관련 기술,에나멜
2100,666.3,기술,화학 공학,세라믹 및 관련 기술,도기류
2101,666.4,기술,화학 공학,세라믹 및 관련 기술,"도자기 재료, 장비, 공정"
2102,666.5-666.6,기술,화학 공학,세라믹 및 관련 기술,특정 유형의 도자기
2103,666.7,기술,화학 공학,세라믹 및 관련 기술,내화물 및 구조용 점토 제품
2104,666.8,기술,화학 공학,세라믹 및 관련 기술,합성 및 인공 광물과 건축 자재
2105,666.9,기술,화학 공학,세라믹 및 관련 기술,벽돌 접착제
2106,667,기술,화학 공학,"세정, 컬러, 코팅, 관련 기술","세정, 컬러, 코팅, 관련 기술"
2107,667.1,기술,화학 공학,"세정, 컬러, 코팅, 관련 기술",청소 및 표백
2108,667.2,기술,화학 공학,"세척, 컬러, 코팅, 관련 기술",염료 및 안료
2109,667.3,기술,화학 공학,"세정, 컬러, 코팅, 관련 기술",염색 및 인쇄
2110,667.4,기술,화학 공학,"세정, 컬러, 코팅, 관련 기술",잉크
2111,667.5,기술,화학 공학,"세정, 컬러, 코팅, 관련 기술",인쇄 잉크
2112,667.6,기술,화학 공학,"세척, 컬러, 코팅, 관련 기술",페인트와 회화
2113,667.7,기술,화학 공학,"세정, 컬러, 코팅, 관련 기술","광택제, 래커, 바니시"
2114,667.9,기술,화학 공학,"세정, 컬러, 코팅, 관련 기술",코팅 및 코팅
2115,668,기술,화학 공학,기타 유기농 제품의 기술,기타 유기농 제품의 기술
2116,668.1,기술,화학 공학,기타 유기농 제품의 기술,계면활성제(계면활성제)
2117,668.2,기술,화학 공학,기타 유기농 제품의 기술,글리세린
2118,668.3,기술,화학 공학,기타 유기제품의 기술,접착제 및 관련 제품
2119,668.4,기술,화학 공학,기타 유기농 제품의 기술,플라스틱
2120,668.5,기술,화학 공학,기타 유기농 제품의 기술,향수 및 화장품
2121,668.6,기술,화학 공학,기타 유기농 제품의 기술,농약
2122,668.9,기술,화학 공학,기타 유기농 제품의 기술,고분자 및 중합
2123,669,기술,화학 공학,야금,야금
2124,669.028,기술,화학 공학,야금,"보조 기술 및 절차 기구, 장비"
2125,669.04,기술,화학 공학,야금,야금 특별 주제
2126,669.092,기술,화학 공학,야금,"야금학자, . . ."
2127,669.1-669.7,기술,화학 공학,야금,특정 금속 및 그 합금의 야금학
2128,669.8,기술,화학 공학,야금,야금로 기술
2129,669.9,기술,화학 공학,야금,물리화학적 야금
2130,670,기술,조작,조작,조작
2131,670.285,기술,조작,조작,컴퓨터 응용 프로그램
2132,670.4,기술,조작,조작,제조의 특별 주제
2133,670[.685],기술,조작,조작,생산 관리
2134,670.74,기술,조작,조작,제조-전시회
2135,670.92,기술,조작,조작,제조업 노동자
2136,671-679,기술,조작,특정 재료를 이용한 제품 제조,특정 재료를 이용한 제품 제조
2137,671,기술,조작,특정 재료를 이용한 제품 제조,금속 가공 공정 및 1차 금속 제품
2138,672,기술,조작,특정 재료를 이용한 제품 제조,"철, 강철, 기타 철 합금"
2139,673,기술,조작,특정 재료를 이용한 제품 제조,비철금속
2140,674,기술,조작,특정 재료를 이용한 제품 제조,"목재 가공, 목재 제품, 코르크"
2141,675,기술,조작,특정 재료를 이용한 제품 제조,가죽 및 모피 가공
2142,676,기술,조작,특정 재료를 이용한 제품 제조,펄프 및 종이 기술
2143,677,기술,조작,특정 재료를 이용한 제품 제조,직물
2144,678,기술,조작,특정 재료를 이용한 제품 제조,엘라스토머 및 엘라스토머 제품
2145,679,기술,조작,특정 소재로 제품 제조,특정 종류의 재료로 만든 기타 제품
2146,680,기술,특정 용도로 제조,특정 용도의 제품 제조,특정 용도의 제품 제조
2147,681,기술,특정 용도로 제조,정밀 기기 및 기타 장치,정밀 기기 및 기타 장치
2148,681.1,기술,특정 용도로 제조,정밀 기기 및 기타 장치,"시간 측정, 계산 및 계산 기계 및 도구"
2149,681.2,기술,특정 용도로 제조,정밀 기기 및 기타 장치,"테스트, 측정, 감지 장비"
2150,681.4,기술,특정 용도로 제조,정밀 기기 및 기타 장치,광학기기
2151,681.6,기술,특정 용도로 제조,정밀 기기 및 기타 장치,"인쇄, 필기, 복사 기계 및 장비"
2152,681.7,기술,특정 용도로 제조,정밀 기기 및 기타 장치,"기타 과학 기술 장비, 기계, 장비"
2153,681.8,기술,특정 용도로 제조,정밀 기기 및 기타 장치,악기
2154,682,기술,특정 용도로 제조,소형 대장간 작업(대장간 작업),소형 대장간 작업(대장간 작업)
2155,682.092,기술,특정 용도로 제조,소형 대장간 작업(대장간 작업),대장장이
2156,682.1,기술,특정 용도로 제조,소형 대장간 작업(대장간 작업),말발굽
2157,682.4,기술,특정 용도로 제조,소형 대장간 작업(대장간 작업),철공품 및 손으로 단조한 도구
2158,683,기술,특정 용도로 제조,"하드웨어, 무기, 가전제품","하드웨어, 무기, 가전제품"
2159,683.3,기술,특정 용도로 제조,"하드웨어, 무기, 가전제품",자물쇠 제조
2160,683.4,기술,특정 용도로 제조,"하드웨어, 무기, 가전제품",무기
2161,683.8,기술,특정 용도로 제조,"하드웨어, 무기, 가전제품",가정 용품 및 가전 제품
2162,684,기술,특정 용도로 제조,가구 및 홈 워크샵,가구 및 홈 워크숍
2163,684.001-684.009,기술,특정 용도로 제조,가구 및 홈 워크숍,표준 세분
2164,684.08,기술,특정 용도로 제조,가구 및 홈 워크숍,목공
2165,684.09,기술,특정 용도로 제조,가구 및 홈 워크숍,금속 가공
2166,684.1,기술,특정 용도로 제조,가구 및 홈 워크숍,가구
2167,684.3,기술,특정 용도로 제조,가구 및 홈 워크숍,패브릭 가구
2168,685,기술,특정 용도로 제조,"가죽, 모피 제품 및 관련 제품","가죽, 모피 제품 및 관련 제품"
2169,685.092,기술,특정 용도에 맞게 제조,"가죽, 모피 제품 및 관련 제품",가죽제품 제조업체
2170,685.1,기술,특정 용도에 맞게 제조,"가죽, 모피 제품 및 관련 제품",마구 및 마구 제작
2171,685.2,기술,특정 용도로 제조,"가죽, 모피 제품 및 관련 제품",가죽 및 모피 의류 및 액세서리
2172,685.3,기술,특정 용도로 제조,"가죽, 모피 제품 및 관련 제품",신발 및 관련 제품
2173,685.4,기술,특정 용도로 제조,"가죽, 모피 제품 및 관련 제품",장갑과 벙어리장갑
2174,685.5,기술,특정 용도에 맞게 제조,"가죽, 모피 제품 및 관련 제품","짐, 핸드백, 캠핑장비"
2175,686,기술,특정 용도에 맞게 제조,인쇄 및 관련 활동,인쇄 및 관련 활동
2176,686.1,기술,특정 용도로 제조,인쇄 및 관련 활동,인쇄의 발명
2177,686.2,기술,특정 용도로 제조,인쇄 및 관련 활동,인쇄
2178,686.3,기술,특정 용도로 제조,인쇄 및 관련 활동,제본
2179,686.4,기술,특정 용도로 제조,인쇄 및 관련 활동,복사
2180,687,기술,특정 용도에 맞게 제조,의류 및 액세서리,의류 및 액세서리
2181,687.04,기술,특정 용도로 제조,의류 및 액세서리,의류의 일반적인 주제
2182,687.0688,기술,특정 용도로 제조,의류 및 액세서리,의류--상업적 제조--마케팅 관리
2183,687.0811,기술,특정 용도로 제조,의류 및 액세서리,남성복-상업기술
2184,687.082,기술,특정 용도로 제조,의류 및 액세서리,여성복-상업기술
2185,687.083,기술,특정 용도로 제조,의류 및 액세서리,아동복-상업 기술
2186,687.092,기술,특정 용도에 맞게 제조,의류 및 액세서리,"의류 노동자, . . ."
2187,687.1,기술,특정 용도로 제조,의류 및 액세서리,특정 종류의 의류
